daily_energy_kwh,budget_million_xaf,avg_cost,lifespan,install_type,label
18.3579822166512,0.6230971458533778,313212.22459530225,10,0,string
10.981849154570462,0.5660769347239646,155159.52869213358,20,1,string
14.773295164885603,0.34661547750400407,336497.1623002456,15,0,string
9.284917661479168,0.950173338142083,225914.24948678317,15,1,string
12.970656973306326,0.7672738247120804,120939.50672384097,5,1,string
7.4709428110012555,1.3119813892536052,479462.46308262594,5,0,string
6.722021375923462,0.14495341267488154,356596.1476257151,15,0,string
11.98636593722076,1.0014150985771768,450767.5727483388,10,1,string
10.464463809495626,1.1681284299161856,370422.40200530126,15,1,string
12.01119101384964,1.1632811968636299,242793.47685604516,20,1,micro
6.446551044453437,1.340503553933735,305075.22893152456,5,0,string
7.97219880452291,1.1206472399612917,370298.7041388708,5,1,string
2.594061251949277,1.3989340863067747,484100.930080575,15,0,string
1.9932510731719086,0.565719239749248,201467.78364867857,10,0,string
5.815685463787309,0.8044931834521603,449990.82344964705,10,0,string
2.4106903272803692,0.11971152859604695,469631.12211770774,20,1,string
2.9717194640600733,0.1097406222246077,368166.2058635826,5,0,string
16.445639702484804,0.4361772686321278,472506.6509605351,15,1,string
1.7386002433170966,0.24113007599471936,259151.4349909474,15,0,string
13.519913084760113,0.4642959151100551,481206.4704161771,5,1,string
6.1785972274926095,0.34786061233975635,381113.15086639,15,1,string
17.559367933454403,0.13992803477410753,116802.30696752475,5,0,string
10.214853406972491,1.3730258049684692,462749.1327276211,10,1,string
6.805952727228689,0.11151238394444814,293789.123613277,10,0,string
10.835139778099256,1.1305150020719197,284130.79391113314,15,0,string
8.257202361860108,0.31300704168732313,326586.64239185373,10,0,string
11.721720228726774,1.37712147079944,159753.81870849116,10,0,string
3.1761244982006165,1.3499143154258402,287666.4194269595,20,0,string
19.942819553438472,1.0154616049169602,432450.8866870983,5,0,micro
9.085561676237633,1.0411278097208472,106192.98365500613,5,0,string
7.6163821544400045,0.10747479875756397,209166.86412974852,15,1,string
14.493987118009032,1.478820192559043,100981.8345775377,5,0,micro
7.914088723411317,1.3289656450061402,266284.5236599393,20,0,string
16.832211795546396,1.353148716022129,391326.20419749385,15,1,micro
9.63114376284808,1.0229423518712206,419508.7316458514,15,1,string
14.671609852043263,0.5827017001163511,478075.90445080266,5,0,string
3.0416111123958443,1.3511081087266732,343401.84518831456,10,0,string
17.076264525547124,0.5081236994116692,201850.7466611582,10,0,string
14.978641748784087,0.887796160679084,469659.1796546796,10,1,micro
5.022618790777348,0.23962336128143535,410126.30155215046,10,0,string
3.760434185169946,1.3907378821858503,329771.3932012578,20,1,string
7.009554625786864,0.29707864087969865,378256.0862875744,15,0,string
19.545341134606183,0.4148555280225702,469726.54200297163,10,0,string
5.879799916774114,0.8813878213795009,384957.61138916865,20,1,string
9.666416969986033,1.1697302002981742,247349.8030338936,15,0,string
1.57038428862939,0.9670918283108184,385211.28091563866,5,0,string
8.54732306175842,0.4249874779202186,116111.26509415515,5,0,string
11.855080293228951,0.10132025953848647,254566.22473223248,20,1,string
19.10936763765134,1.160010812430415,262529.2127382317,15,0,micro
10.817984853861224,1.4792902562755312,166735.29376833385,10,0,string
16.563039197376067,1.2338783684285266,109234.19222070806,15,1,micro
