ds,y
2015-01-01,9.341354166666667
2015-01-02,10.165711805555556
2015-01-03,8.817013888888889
2015-01-04,10.022725694444444
2015-01-05,9.387517361111112
2015-01-06,9.08829861111111
2015-01-07,9.6578125
2015-01-08,10.051041666666666
2015-01-09,10.653420138888889
2015-01-10,10.78717013888889
2015-01-11,10.476493055555556
2015-01-12,10.583628472222221
2015-01-13,10.655208333333333
2015-01-14,10.209809027777778
2015-01-15,10.63546875
2015-01-16,9.750607638888889
2015-01-17,9.35703125
2015-01-18,8.384305555555555
2015-01-19,9.05829861111111
2015-01-20,9.262638888888889
2015-01-21,9.358854166666667
2015-01-22,9.241631944444444
2015-01-23,8.839409722222221
2015-01-24,8.880173611111111
2015-01-25,7.604305555555555
2015-01-26,8.122361111111111
2015-01-27,7.308802083333333
2015-01-28,7.760486111111111
2015-01-29,8.41
2015-01-30,9.588906249999999
2015-01-31,8.145486111111111
2015-02-01,9.060954861111112
2015-02-02,7.124878472222222
2015-02-03,7.447152777777777
2015-02-04,7.966527777777777
2015-02-05,8.275989583333333
2015-02-06,8.429114583333332
2015-02-07,7.260590277777777
2015-02-08,7.864166666666667
2015-02-09,7.381545138888889
2015-02-10,8.068246527777777
2015-02-11,8.841649305555555
2015-02-12,5.3684722222222225
2015-02-13,8.049184027777779
2015-02-14,8.558090277777778
2015-02-15,10.173784722222223
2015-02-16,8.26373263888889
2015-02-17,8.167013888888889
2015-02-18,5.323871527777778
2015-02-19,10.067135416666668
2015-02-20,8.553975694444444
2015-02-21,8.466666666666667
2015-02-22,6.510937500000001
2015-02-23,8.074461805555556
2015-02-24,7.773611111111111
2015-02-25,8.218246527777778
2015-02-26,6.5935243055555555
2015-02-27,6.992118055555555
2015-02-28,8.656059027777777
2015-03-01,8.877847222222222
2015-03-02,8.121909722222222
2015-03-03,8.101614583333333
2015-03-04,7.688020833333334
2015-03-05,8.864600694444444
2015-03-06,7.008611111111112
2015-03-07,8.104270833333333
2015-03-08,6.969427083333334
2015-03-09,9.624149305555555
2015-03-10,8.521631944444444
2015-03-11,9.687239583333334
2015-03-12,10.587482638888888
2015-03-13,9.071388888888889
2015-03-14,8.546493055555556
2015-03-15,8.758958333333334
2015-03-16,6.323819444444445
2015-03-17,7.444184027777777
2015-03-18,9.096319444444445
2015-03-19,8.356736111111111
2015-03-20,9.038072916666666
2015-03-21,8.540503472222222
2015-03-22,8.831510416666667
2015-03-23,9.048993055555554
2015-03-24,8.050590277777777
2015-03-25,7.992847222222223
2015-03-26,8.231857638888888
2015-03-27,4.362135416666667
2015-03-28,9.093107638888888
2015-03-29,7.460364583333333
2015-03-30,8.066684027777777
2015-03-31,10.404756944444445
2015-04-01,10.184791666666667
2015-04-02,6.786475694444444
2015-04-03,7.930746527777778
2015-04-04,9.766180555555556
2015-04-05,8.800399305555555
2015-04-06,10.41296875
2015-04-07,7.666093750000001
2015-04-08,10.879861111111111
2015-04-09,9.11
2015-04-10,11.414791666666668
2015-04-11,7.2661284722222215
2015-04-12,8.584236111111112
2015-04-13,9.326215277777779
2015-04-14,8.797430555555556
2015-04-15,6.740104166666666
2015-04-16,9.044739583333333
2015-04-17,9.715989583333334
2015-04-18,8.515850694444444
2015-04-19,8.790000000000001
2015-04-20,9.468715277777777
2015-04-21,9.2909375
2015-04-22,9.953368055555556
2015-04-23,9.000347222222222
2015-04-24,7.253645833333334
2015-04-25,9.366927083333334
2015-04-26,7.337621527777777
2015-04-27,10.241388888888888
2015-04-28,9.115034722222221
2015-04-29,10.884045138888888
2015-04-30,8.503663194444444
2015-05-01,9.696076388888889
2015-05-02,8.797638888888889
